ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
REG COMPLIANCE SW   ,15,69,REG-SW                                       
SECURITY MGMT SW    ,15,69,SM-SW                                        
SURVEILLANCE SW     ,15,69,SUR-SW                                       
VIRUS PROTECTION SW ,15,69,VP-SW                                        
VULNERABILITY SW    ,15,69,VUL-SW                                       
IT MANAGEMENT SW    ,15,77,*                                            
APPLICATION MGMT SW ,15,77,AM-SW                                        
CLUSTERING SW       ,15,77,CLS-SW                                       
NETWORK ANALYSIS SW ,15,77,DIAGSW                                       
HELP DESK SW        ,15,77,HD-SW                                        
IT ASSET MMGT SW    ,15,77,INV-SW                                       
IT MANAGEMENT SUITE ,15,77,IT-SW                                        
NETWORK MGMT SW     ,15,77,NMG-SW                                       
UPS MANAGEMENT SW   ,15,77,UPS-SW                                       
VIDEO CONF SW       ,15,77,VC-SW                                        
UTILITY SOFTWARE    ,15,79,*                                            
FILE CONVERSION SW  ,15,79,FIL-SW                                       
INTERNET SHARING SW ,15,79,FST-SW                                       
SYSTEM OPTIMIZATION ,15,79,OPT-SW                                       
O/S MGMNT/PARTITION ,15,79,OSM-SW                                       
UTILITY SUITE       ,15,79,UT-SW                                        
PERSONAL INTEREST SW,15,80,*                                            
MUSIC/SOUND SW      ,15,80,MUS-SW                                       
HEALTH/NUTRITION SW ,15,80,NUT-SW                                       
PERSONAL ORGANIZR SW,15,80,ORG-SW                                       
TRAVEL SW           ,15,80,TRV-SW                                       
DATA MANAGEMENT SW  ,15,82,*                                            
DB DEVELOPMENT SW   ,15,82,DB-DEV                                       
DATABASE SOFTWARE   ,15,82,DB-SW                                        
DATA MANAGEMENT SW  ,15,82,DM-SW                                        
DOC/INFO MGMT SW    ,15,82,DOC-SW                                       
FORMS DESIGN SW     ,15,82,FD-SW                                        
PDF CREATION SW     ,15,82,PDF-SW                                       
REPORT CREATION SW  ,15,82,RPT-SW                                       
BUSINESS SOLUTION SW,15,85,*                                            
APPLICATION SVR SW  ,15,85,APP-SW                                       
BUS INTELLIGENCE SW ,15,85,BI-SW                                        
CRM SOFTWARE        ,15,85,CRM-SW                                       
E-COMMERCE SW       ,15,85,ECM-SW                                       
HUMAN RESOURCES SW  ,15,85,HR-SW                                        
LEARNING MGMT SW    ,15,85,LRN-SW                                       
MIDDLEWARE SW       ,15,85,MDW-SW                                       
PROJECT MGMT SW     ,15,85,PJ-SW                                        
PROCESS MGMT SW     ,15,85,PM-SW                                        
PORTAL SOFTWARE     ,15,85,POR-SW                                       
BUS SOL SW ESD DP   ,15,85,SL-WDP                                       
BUSINESS SOLUTION SW,15,85,SOL-SW                                       
SERVER SUITE SW     ,15,85,SVR-SW                                       
VIRTUALIZATION SW   ,15,90,*                                            
HYPERVISOR SERVER SW,15,90,HV-SW                                        
HYPERVISOR DESK SW  ,15,90,HVD-SW                                       
HYPERVISOR MGMT SW  ,15,90,HVM-SW                                       
HYPERVISOR MGT DT   ,15,90,HVMDSW                                       
VIRTUALIZATION UTIL ,15,90,VU-SW                                        
UTILITY VIRT DESKTOP,15,90,VUD-SW                                       
PHYSICAL SECURITY   ,16,* ,*                                            
VIDEO SURVEILLANCE  ,16,92,*                                            
ANALOG SECURITY CAM ,16,92,ANGCAM                                       
HYBRID VID RECORDER ,16,92,HVR                                          
NETWORK SECURITY CAM,16,92,NV-CAM                                       
NETWORK VIDEO RECORD,16,92,NVR                                          
SECURITY DIG VID REC,16,92,SDVR                                         
VIDEO ENCODERS      ,16,92,VENCDR                                       
SECURITY COMPONENTS ,16,92,VSCPNT                                       
VIDEO SURV ENCLOSURE,16,92,VSENCL                                       
PHYS ACCESS CONTROL ,16,93,*                                            
BIOMETRIC SECURITY  ,16,93,BIOMET                                       
PHYS ACCESS CTLR MGT,16,93,PACMGT                                       
PROXIMITY DEVICES   ,16,93,PRXDEV                                       
PHYSICAL SEC ACCS   ,16,93,SECACC                                       
OBSERV/SECURITY BNDL,16,93,SECBND                                       
DETECT/FIRE/ALARM   ,16,94,*                                            
ALARM SYSTEMS       ,16,94,ALARM                                        
ANTI-THEFT DEVICE/SW,16,94,ATHEFT                                       
EMERGENCY DEVICES   ,16,94,EMERG                                        
ENVIRONMENTAL MNTR  ,16,94,ENVIRN                                       
METAL DETECTORS     ,16,94,METAL                                        
IMAGING DEVICES     ,17,* ,*                                            
SCANNERS            ,17,1,*                                            
BUS CARD SCANER     ,17,1,B-SCAN                                       
ENT/PROD SCA        ,17,1,E-SCAN                                       
HANDHELD SCANNER    ,17,1,H-SCAN                                       
HOME/OFF SCA        ,17,1,O-SCAN                                       
PHOTO SCANNER       ,17,1,P-SCAN                                       
SHEETFED SCANNER    ,17,1,S-SCAN                                       
3D SCANNER          ,17,1,3-SCAN                                       
BINOCULARS          ,17,2,*                                            
BINOCULAR GENERAL   ,17,2,BI-GU                                        
MONOCULAR GENERAL   ,17,2,MO-GU                                        
CAMERAS             ,17,3,*                                            
ANALOG CAMCORDERS   ,17,3,CAMCRD                                       
DIGTL CAMERA        ,17,3,CAMERA                                       
CAM PRNT BND        ,17,3,CAMPRN                                       
DV CAMCORDER        ,17,3,DIGCAM                                       
FILM CAMERA         ,17,3,FLMCAM                                       
UNDERWATER CAMERAS  ,17,3,UNDCAM                                       
WEB CAMERA          ,17,3,WEBCAM                                       
SYSTEM COMPONENTS   ,21,* ,*                                            
MOTHERBOARDS        ,21,10,*                                            
AMD MOBILE PROC MB  ,21,10,AMO-MB                                       
AMD MULTI-PROC MB   ,21,10,AMP-MB                                       
AMD SINGLE PROC MB  ,21,10,ASP-MB                                       
INTEL MOBILE PROC MB,21,10,IMO-MB                                       
INTEL MULTI-PROC MB ,21,10,IMP-MB                                       
INTEL SINGLE PROC MB,21,10,ISP-MB                                       
MOTHERBOARD CPNT    ,21,10,MB-CP                                        
COMPUTER CASES      ,21,20,*                                            
COMPUTER CASE CPNT  ,21,20,CAS-CP                                       
PC COMPUTER CASE    ,21,20,PC-CAS                                       
SERVER COMPUTER CASE,21,20,S-CASE                                       
POWER SUPPLIES      ,21,30,*                                            
CASE SPECIFIC POWER ,21,30,C-PWR                                        
GENERIC POWER SUPL  ,21,30,G-PWR                                        
SYSTEM SPECIFIC PWR ,21,30,S-PWR                                        
PROCESSORS          ,21,50,*                                            
AMD MULTI PROCESSORS,21,50,AMD-MP                                       
AMD SINGLE PROCESSOR,21,50,AMD-SP                                       
AMD MOBILE CPU      ,21,50,AMDMOB                                       
INTEL MUL PR        ,21,50,INT-MP                                       
INTEL SGL PR        ,21,50,INT-SP                                       
INTEL MOBILE CPU    ,21,50,INTMOB                                       
PROCESSOR ACCELRATOR,21,50,P-ACCL                                       
ULTRASPARC PROCESSOR,21,50,SPARC                                        
MEMORY              ,21,60,*                                            
GENERIC MEMORY      ,21,60,STDMEM                                       
PROPRIETARY SYS MEM ,21,60,SYSMEM                                       
VIDEO & CAPTURE CARD,21,70,*                                            
VIDEO CAPTURE DEVICE,21,70,C-CARD                                       
VIDEO COMBO CARDS   ,21,70,COMBO                                        
SCAN CONVERTER      ,21,70,SCAN-C                                       
TV/AUDIO TUNER      ,21,70,TUNER                                        
VIDEO CARD          ,21,70,V-CARD                                       
SOUND CARDS         ,21,80,*                                            
EXTERNAL SOUND SYST ,21,80,EXTSND                                       
INTERNAL SOUND CARD ,21,80,INTSND                                       
CABLES              ,22,* ,*                                            
COMPUTER CABLES     ,22,1,*                                            
FIREWIRE CABLES/ADAP,22,1,FW                                           
PHONE LINE CABLE    ,22,1,PH-CBL                                       
SERIAL CABLE        ,22,1,SERIAL                                       
USB CABLES & ADAPTER,22,1,USB                                          
FILE TRANSFER CABLES,22,1,XFER                                         
POWER CABLES        ,22,10,*                                            
INDOOR/OUTDOOR EXTN ,22,10,EXTCRD                                       
AC POWER CABLE      ,22,10,PWRCBL                                       
A/V DEVICE CABLES   ,22,20,*                                            
AUDIO & VIDEO CABLES,22,20,A/V                                          
AUDIO CABLES        ,22,20,AUDCBL                                       
SPEAKER WIRE        ,22,20,SPKCBL                                       
VIDEO CABLES/ADAP   ,22,20,VIDCBL                                       
I/O DEVICE CABLES   ,22,30,*                                            
JOYSTICK CABLES     ,22,30,JOYCBL                                       
KB/MOUSE CABLES     ,22,30,KEYMSE                                       
KVM SWITCH CABLE    ,22,30,KVMCBL                                       
MODEM CABLE         ,22,30,MODEM                                        
PRINTER CABLES/ADAPT,22,30,PRNTCB                                       
NETWORK CABLES      ,22,40,*                                            
ETHERNET COAX CABLE ,22,40,COAX                                         
ETHERNET CABLE/ADAP ,22,40,ETHERN                                       
FIBER OPTIC CABLE   ,22,40,FIBER                                        
MODULAR CONNECTOR   ,22,40,MODULR                                       
PROPRIETARY DEV CABL,22,40,NETCBL                                       
TOKEN RING CABLE    ,22,40,TR-CBL                                       
CABLING COMPONENTS  ,22,50,*                                            
CABLE MANAGEMENT    ,22,50,CBLMGT                                       
CABLING COMPONENTS  ,22,50,CBLMNT                                       
PATCH PANEL/MOUNTING,22,50,CBLPNL                                       
STRUCTURED WIRING   ,22,50,STRWIR                                       
TOOL/TOOLKIT        ,22,50,TOOLS                                        
STORAGE CABLES      ,22,70,*                                            
DRIVE POWER CABLE   ,22,70,DRVPWR                                       
EXT STORAGE CBL/ADAP,22,70,EXTCBL                                       
INT STORAGE CABLE   ,22,70,INTCBL                                       
PROFESSIONAL SOUND &,30,* ,*                                            
PRO SOUND & ENT DEVI,30,1,*                                            
DJ EQUIPMENT        ,30,1,DJDEV                                        
PORTABLE/PA SYSTEMS ,30,1,PASYST                                       
PRO/ENT AMPLIFIERS  ,30,1,PROAMP                                       
PROFESSIONAL CD     ,30,1,PROCD                                        
PRO/ENT MICROPHONES ,30,1,PROMIC                                       
PRO/ENT SPEAKERS    ,30,1,PSPKR                                        
PRO SOUND & ENT OPTI,30,2,*                                            
PRO/ENT ACCESSORIES ,30,2,PACCS                                        
INPUT/OUTPUT DEVICES,33,* ,*                                            
SERIAL/PARALLEL & IO,33,20,*                                            
I/O COMBO CARD      ,33,20,I/OCRD                                       
MULTIPORT SER DEVICE,33,20,MP-SER                                       
PARALLEL CARD       ,33,20,PARCRD                                       
SERIAL CARD         ,33,20,SERCRD                                       
SWITCHING DEVICES   ,33,30,*                                            
AV SWITCHBOX/SPLITER,33,30,A/V-SW                                       
A/V EXTENSION DEVICE,33,30,AVEXTN                                       
KVM SWITCHE/CPNT    ,33,30,KVM-SW                                       
SER/PAR SWITCHBOX   ,33,30,SW-BOX                                       
USB DEVICE SWITCHBOX,33,30,USB-SW                                       
USB & FIREWIRE CONN ,33,40,*                                            
FIREWIRE CONNECT    ,33,40,FWCON                                        
THUNDERBOLT CONN    ,33,40,TDRCON                                       
USB/FIREWIRE CONECT ,33,40,USB/FW                                       
USB CONNECTIVITY    ,33,40,USBCON                                       
KEYBOARDS & KEYPADS ,33,50,*                                            
KEYBOARD            ,33,50,KEYB                                         
KEYBOARD/MOUSE COMBO,33,50,KEYCMB                                       
KEYPAD              ,33,50,KEYPAD                                       
POINTING DEVICES    ,33,60,*                                            
INTERACTIVE PRES DEV,33,60,IPD                                          
MICE                ,33,60,MICE                                         
GRAPHICS TABLET     ,33,60,TABLET                                       
TOUCHPAD            ,33,60,TCHPAD                                       
TRACKBALL           ,33,60,TRKBAL                                       
WHITEBOARD          ,33,60,WHTBRD                                       
PC GAME CONTROLLERS ,33,70,*                                            
GAME PAD            ,33,70,GAMEPD                                       
JOYSTICK            ,33,70,JOYSTK                                       
WHEEL/PEDAL         ,33,70,WHEEL                                        
WIRELESS CONNECT DEV,33,90,*                                            
BLUETOOTH CONNECT   ,33,90,BLUET                                        
IR CONNECTIVITY DEV ,33,90,IRDA                                         
TRAINING            ,40,* ,*                                            
BUSINESS DEVELOPMENT,40,10,*                                            
GENERAL BUSINES TRNG,40,10,GBD-TR                                       
LEADERSHIP/MGMT TRNG,40,10,MGT-TR                                       
PROJECT MGMT TRNG   ,40,10,PR-TR                                        
SALES TRAINING      ,40,10,SAL-TR                                       
CERTIFICATION TRNG  ,40,15,*                                            
GENERAL CERT TRNG   ,40,15,CER-TR                                       
CISCO CERT TRNG     ,40,15,CIS-TR                                       
LINUX CERT TRNG     ,40,15,LIN-TR                                       
MS CERTIFICATION TRN,40,15,MS-TR                                        
NOVELL CERTIF TRNG  ,40,15,NOV-TR                                       
COMPTIA CERT TRNG   ,40,15,TIA-TR                                       
APPLICATION TRNG    ,40,20,*                                            
APPLICATION TRAINING,40,20,APP-TR                                       
DATABASE TRAINING   ,40,20,DBP-TR                                       
E-MAIL/MESSAGE TRNG ,40,20,EM-TR                                        
MM/GRAPHIC TRNG     ,40,20,MM-TR                                        
OS TRAINING         ,40,20,OS-TR                                        
SUITE TRAINING      ,40,20,STE-TR                                       
PROGRAMMING TRNG    ,40,25,*                                            
PROGRAMMING LANG TRN,40,25,LNG-TR                                       
PROGRAMMING TRNG    ,40,25,PRO-TR                                       
WEB DESIGN TRAINING ,40,25,WEB-TR                                       
TECHNOLOGY TRNG     ,40,30,*                                            
INTERNET/ECOM TRNG  ,40,30,ECM-TR                                       
NETWORK TRAINING    ,40,30,NET-TR                                       
SECURITY TRAINING   ,40,30,SEC-TR                                       
STORAGE TRAINING    ,40,30,STR-TR                                       
GENERAL TECH TRNG   ,40,30,TCH-TR                                       
INGRAM MICRO TRNG   ,40,50,*                                            
IM CLASSROOM TRNG   ,40,50,CLASTR                                       
IM PTS TRAINING     ,40,51,*                                            
HOME & APPLIANCES   ,50,* ,*                                            
SMALL APPLIANCES    ,50,5,*                                            
BEVERAGE APPLIANCE  ,50,5,BEVRGE                                       
MIXERS/BLEND/PROCESS,50,5,BLENDR                                       
CLOCKS              ,50,5,CLOCK                                        
COOKER/STEAMER      ,50,5,COOK                                         
DEHUMIDIFIERS       ,50,5,DEHUM                                        
ICE CREAM MAKERS    ,50,5,ICECRM                                       
MICROWAVE OVEN      ,50,5,MICRV                                        
MICROWAVE/TOASTER   ,50,5,MICTST                                       
OTHER ELECTRONICS   ,50,5,OTHELC                                       
VACUUM CLEANER      ,50,5,VAC                                          
LARGE APPLIANCES    ,50,10,*                                            
AIR CONDITIONER     ,50,10,AIRCND                                       
AIR FILTRATION SYST ,50,10,AIRFLT                                       
CENTRAL VACUUMS     ,50,10,CVAC                                         
ICE MAKERS          ,50,10,ICEMKR                                       
COOKING APPLIANCE   ,50,10,KITCH                                        
REFRIGERATOR        ,50,10,REFR                                         
WASHER/DRYER        ,50,10,W/D                                          
OUTDOOR LIVING      ,50,11,*                                            
BACKPACKS           ,50,11,BCKPAK                                       
COOLERS             ,50,11,COOLER                                       
OUTDOOR LIVING      ,50,11,FLSLIT                                       
OUTDOOR COOKING     ,50,11,ODCOOK                                       
OUTDOOR RECREATION  ,50,11,OUTREC                                       
TENTS & SHELTERS    ,50,11,TENTS                                        
ARTS & CRAFTS       ,50,12,*                                            
ELEC CUTTING MACHINE,50,12,ELECUT                                       
HOME FURNISHINGS    ,50,13,*                                            
BABY GEAR           ,50,13,BABY                                         
BEDROOM FURNITURE   ,50,13,BEDFRN                                       
COOKWARE            ,50,13,COOKW                                        
CUTLERY/KNIVES/SERVE,50,13,CUTLRY                                       
FOOD STORAGE        ,50,13,FOODST                                       
HOME FURNISHINGS    ,50,13,GLASSW                                       
PERSONAL CARE PRODUC,50,15,*                                            
LUGGAGE & BAGS      ,50,20,*                                            
BRIEFCASES          ,50,20,BRFCAS                                       
CARRY-ON LUGGAGE    ,50,20,CARRY                                        
LUGGAGE SETS        ,50,20,LUGSET                                       
PLANNERS/PADFOLIOS  ,50,20,PLANR                                        
ROLLING LUGGAGE     ,50,20,ROLLIN                                       
HEALTH & WELLNESS   ,51,* ,*                                            
HEALTH              ,51,0,*                                            
BATH                ,51,0,BATH                                         
BEAUTY PRODUCTS     ,51,0,BEAUTY                                       
ENVIRONMENTAL       ,51,0,ENVIRO                                       
WELLNESS            ,51,0,WELL                                         
WELLNESS            ,51,1,*                                            
APPAREL             ,51,1,APPARL                                       
BIKING              ,51,1,BIKING                                       
EQUIPMENT           ,51,1,EQUIP                                        
EXERCISE            ,51,1,EXERC                                        
JEWELRY             ,60,* ,*                                            
JEWELRY             ,60,1,*                                            
JEWELRY             ,60,2,*                                            
MENS WATCHES        ,60,2,MWATCH                                       
SPECIALTY WATCHES   ,60,2,SWATCH                                       
UNISEX WATCHES      ,60,2,UWATCH                                       
WATCH STRAPS & ACCS ,60,2,WACCS                                        
WEARABLE TECHNOLOGY ,70,* ,*                                            
VIRTUAL REALITY PROD,70,56,*                                            
VR ACCESSORIES      ,70,56,VRACCS                                       
VR HEADSETS         ,70,56,VRHDST                                       
VIRTUAL REALITY SYST,70,56,VRSYST                                       
DATA CAPTURE/POS    ,90,* ,*                                            
ADC MOBILE TERMINALS,90,10,*                                            
PORTABLE DATA TERM  ,90,10,MT-PT                                        
VEHICLE MNT TERMINAL,90,10,MT-VM                                        
RFID READER/ENCODER ,90,15,*                                            
FIXED RFID READER   ,90,15,RR-FM                                        
HANDHELD RFID READER,90,15,RR-HH                                        
WRLS INFRASTRUCTURE ,90,20,*                                            
BARCODE SCANNERS    ,90,25,*                                            
FIXED MOUNT SCANNER ,90,25,BS-FM                                        
HAND BARCODE SCANNER,90,25,BS-HH                                        
IN-COUNTER SCANNER  ,90,25,BS-IC                                        
PRESENTATION SCANNER,90,25,BS-PS                                        
PEN BARCODE READER  ,90,25,BS-PW                                        
BARCODE SLOT READER ,90,25,BS-SR                                        
BARCODE VERIFIER    ,90,25,BS-VR                                        
AUTO ID PRINTERS    ,90,30,*                                            
CARD ENCODING PRNT  ,90,30,BP-CP                                        
BARCODE LABEL PRNT  ,90,30,BP-LB                                        
MOBILE LABEL PRINTER,90,30,BP-MB                                        
RFID ENCODING PRNT  ,90,30,BP-RI                                        
POS PRINTERS        ,90,35,*                                            
INKJET RECEIPT PRNT ,90,35,RP-IJ                                        
IMPACT RECEIPT PRNT ,90,35,RP-IR                                        
MOBILE POS PRNT     ,90,35,RP-MB                                        
MULTISTATION PRNT   ,90,35,RP-MS                                        
THERMAL RECEIPT PRNT,90,35,RP-TR                                        
POS TERMINALS       ,90,40,*                                            
POS KIOSK TERM      ,90,40,PT-KS                                        
PORTABLE POS TERM   ,90,40,PT-PT                                        
STANDALONE POS TERM ,90,40,PT-ST                                        
INTEGRATED TOUCHSCR ,90,40,PT-TS                                        
POS PERIPHERALS     ,90,45,*                                            
AUTHORIZATION TERM  ,90,45,PP-AU                                        
POS CASH DRAWER     ,90,45,PP-CD                                        
CHECK READER        ,90,45,PP-CR                                        
POS KEYBOARD        ,90,45,PP-KB                                        
MAGNETIC STRIPE RDR ,90,45,PP-MR                                        
POLE DISPLAY        ,90,45,PP-PD                                        
POS SCALES          ,90,45,PP-SC                                        
POS TOUCH MONITOR   ,90,45,PP-TS                                        
AIDC/POS SOFTWARE   ,90,50,*                                            
AIDC/POS APP DEV SW ,90,50,SW-AD                                        
BARCODE LABEL SW    ,90,50,SW-BL                                        
POS DATA CAPTURE SW ,90,50,SW-DC                                        
POS DEVICE MGMNT SW ,90,50,SW-DM                                        
HOSPITALITY SW      ,90,50,SW-HS                                        
MISC AIDC/POS SW    ,90,50,SW-MS                                        
POS WRLS NTWK MGT SW,90,50,SW-NM                                        
POS RETAILER SW     ,90,50,SW-RS                                        
POS TERM EMUL SW    ,90,50,SW-TE                                        
WARR & SVCS CONTRACT,90,55,*                                            
SOLUTIONS BUNDLES   ,90,60,*                                            
ASSET TRACK SOLUTION,90,60,SL-AT                                        
INVENTORY SOLUTIONS ,90,60,SL-IC                                        
PHOTO ID BUNDLES    ,90,60,SL-ID                                        
LABELING SOLUTIONS  ,90,60,SL-LB                                        
POS SOLUTIONS       ,90,60,SL-PS                                        
TIME/ATTEND SOLUTION,90,60,SL-TA                                        
WRLS ADC ACCESSORIES,90,70,*                                            
ADC MOBILE TERM ACCS,90,70,MT-AC                                        
RFID ACCESSORIES    ,90,70,RR-AC                                        
AUTO ID ACCESSORIES ,90,75,*                                            
AUTO ID PRINTER ACCS,90,75,BP-AC                                        
BARCODE SCANNER ACCS,90,75,BS-AC                                        
RETAIL POS ACCESSORI,90,80,*                                            
BARCODE PRINTER ACCS,90,80,BC-AC                                        
KIOSK ACCESSORIES   ,90,80,KS-AC                                        
POS PERIPHERAL ACCS ,90,80,PP-AC                                        
POS TERMINAL ACCS   ,90,80,PT-AC                                        
POS PRINTER ACCS    ,90,80,RP-AC                                        
POS UNIV ACCESSORIES,90,83,*                                            
AUTO ID & POS SUPPLI,90,85,*                                            
BARCODE PRINTER SUPL,90,85,BC-SP                                        
AUTO ID PRINTER SUPL,90,85,BP-SP                                        
POS PRINTER SUPL    ,90,85,RP-SP                                        
TOYS & GAMES        ,98,* ,*                                            
TOYS                ,98,1,*                                            
BOARD GAMES         ,98,1,BOARD                                        
CREATIVE/PRETEND    ,98,1,C-TOYS                                       
MODELING CLAYS      ,98,1,CLAY                                         
DRONE ACCESSORIES   ,98,1,DRACCS                                       
DRONES              ,98,1,DRONES                                       
ELECTRONIC TOYS     ,98,1,E-TOYS                                       
RIDING TOYS         ,98,1,R-TOYS                                       
ACCESSORIES         ,99,* ,*                                            
DESK ACCESSORIES    ,99,10,*                                            
CALCULATOR          ,99,10,CALC                                         
BACK/FOOT REST      ,99,10,COMFRT                                       
COPY HOLDER         ,99,10,COPY-H                                       
CPU STAND           ,99,10,CPU-ST                                       
DUST COVER          ,99,10,DUST-C                                       
KEYBOARD ACC        ,99,10,KEYB-A                                       
TRAVEL LIGHTS & FANS,99,10,LIGHTS                                       
DESK ORGANIZER      ,99,10,ORGNZR                                       
MOUSE/KEYBOARD PAD  ,99,10,PADRST                                       
AUTO/MARINE DEVICES ,99,15,*                                            
AUTO/MARINE ACCS    ,99,15,AMACCS                                       
AUTO/MARINE AMPS    ,99,15,AMAMP                                        
AUTO/MARINE RECEIVER,99,15,AMREC                                        
AUTO/MARINE SPEAKER ,99,15,AMSPKR                                       
AUTOMOBILE MONITOR  ,99,15,M-MNTR                                       
AUTO PROTECTION DEV ,99,15,VSAFE                                        
NOTEBOOK/TABLET ACCS,99,20,*                                            
NOTEBOOK BAY EXPAN  ,99,20,NB-BAY                                       
NOTEBOOK CARRY CASE ,99,20,NB-CAS                                       
NOTEBOOK DOCK STATN ,99,20,NB-DOC                                       
NOTEBOOK ACCS KIT   ,99,20,NB-KIT                                       
NOTEBOOK POWER OPTN ,99,20,NB-PWR                                       
TABLET PC ACCS      ,99,20,TABPEN                                       
VHF RADIOS/COMM ACCS,99,25,*                                            
VHF ACCESSORIES     ,99,25,VHFACC                                       
MOBILITY ACCESSORIES,99,30,*                                            
MOBILE ACCESSORY KIT,99,30,ACCKIT                                       
MOBILE BT SPEAKERS  ,99,30,BTSPKR                                       
MOBILE CARRYING CASE,99,30,CASES                                        
GPS ACCESSORIES     ,99,30,GPSACC                                       
MOBILE BT KEYBOARDS ,99,30,MBTKEY                                       
MOBILE HEADSET ACCS ,99,30,MHDACC                                       
MOBILE MOUNTS/STANDS,99,30,MNTSTD                                       
MOBILE CABLE NOT PWR,99,30,MOBCBL                                       
MOBILE HEADSETS     ,99,30,MOBLHD                                       
MOBILE POWER OPTIONS,99,30,PWROPT                                       
MOBILE SCREEN PROT  ,99,30,SCREEN                                       
MOBILE SIM CARD     ,99,30,SIMCRD                                       
SMART WATCHES       ,99,30,SMTWTC                                       
BLUETOOH SPKRPHONE  ,99,30,SPKRPH                                       
MOBILE STYLUS       ,99,30,STYLUS                                       
SMART WATCH ACCS    ,99,30,WTCACC                                       
MONITOR ACCESSORIES ,99,40,*                                            
CONVERTER BOX       ,99,40,CONVRT                                       
SMART DISPLAY ACCS  ,99,40,DISP-A                                       
LCD DISPLAY CARRY   ,99,40,LCDCAS                                       
ANTI-GLARE FILTER   ,99,40,MNTR-F                                       
MONITOR/TV STANDS   ,99,40,MNTR-L                                       
MONITOR TOUCH ADAPT ,99,40,MNTR-T                                       
NOTEBOOK DOCK STATN ,99,40,NB-DOC                                       
REMOTE CONTROL      ,99,40,REMOTE                                       
TV ACCESSORIES      ,99,40,TVACCS                                       
STORAGE ACCESSORIES ,99,45,*                                            
TAPE ARRAY COMPONENT,99,45,ARRY-C                                       
DRV CTLR CPN        ,99,45,CTLR-C                                       
PORTABLE DRIVE CARRY,99,45,DR-CAS                                       
DRIVE INTERFACE CONV,99,45,DR-CVT                                       
ENCLOSURE CPNT      ,99,45,E-CPNT                                       
LIBRARY CPNT        ,99,45,LIB-CP                                       
OPTICAL DEVICE CPNT ,99,45,OPT-CP                                       
SPACE MGMT PRODUCT  ,99,45,SPACE                                        
JEWEL CASES         ,99,45,ST-JWL                                       
DRIVE MOUNTING HW   ,99,45,ST-MNT                                       
DRIVE AC POWER ADAPT,99,45,ST-PWR                                       
MEDIA STORAGE CASE  ,99,45,ST-STR                                       
DATA TRANSFER KIT   ,99,45,ST-XFR                                       
TRANSIT CASES       ,99,45,TRNCAS                                       
PRINTER/PLOTTER ACCS,99,50,*                                            
SPINDLE/ROLL FEED   ,99,50,PLOT-S                                       
PRINTER CARRY CASE  ,99,50,PR-CAR                                       
PRINT SERVER        ,99,50,PR-CRD                                       
PRINTER DUPLEX UNIT ,99,50,PR-DUP                                       
PRINTER FONT UPGR   ,99,50,PR-LNG                                       
PRINTER MANUALS     ,99,50,PR-MAN                                       
PRINTER MEMORY      ,99,50,PR-MEM                                       
PRINTER/FAX OPTION  ,99,50,PR-MFP                                       
PRINTER OUTPUT OPTN ,99,50,PR-OUT                                       
PRINTER POWER OPTION,99,50,PR-PWR                                       
PRINT SHARE/EXTEND  ,99,50,PR-SHR                                       
PRINTER/PLOTTER STND,99,50,PR-STD                                       
PRINTER TRAY/DRAWER ,99,50,PR-TRA                                       
PUSH/PULL TRACTOR   ,99,50,PR-TRC                                       
PRINTER UPGRADE     ,99,50,PR-UPG                                       
PRINTER HD          ,99,50,PRNTHD                                       
PRINTER MGMT SW     ,99,50,PRNTSW                                       
3D PRINTER ACCS/CPNT,99,50,3DACCS                                       
PROJECTOR ACCESSORIE,99,55,*                                            
DOCUMENT CAMERA     ,99,55,DOCCAM                                       
PROJECTOR CASE      ,99,55,PJ-CAS                                       
PROJECTOR CABLE     ,99,55,PJ-CBL                                       
PROJECTOR LEN       ,99,55,PJ-LEN                                       
REPLACEMENT LAMP    ,99,55,PJ-LMP                                       
PROJECTOR MOUNTING  ,99,55,PJ-MNT                                       
PROJECTOR NTWRK ACCS,99,55,PJ-NIC                                       
REMOTE CNTRL/POINTER,99,55,PJ-RMT                                       
PROJECTOR SCREEN ACC,99,55,PSACCS                                       
CAMERA ACCESSORIES  ,99,60,*                                            
CAMERA POWER OPTION ,99,60,CAMBAT                                       
CAMERA CASE         ,99,60,CAMCAS                                       
CAMERA CABLE        ,99,60,CAMCBL                                       
CAMERA DOCK/CRADLE  ,99,60,CAMDOC                                       
CAMERA FLASH/LIGHT  ,99,60,CAMFL                                        
CAMERA ACCESSORY KIT,99,60,CAMKIT                                       
CAMERA LENS         ,99,60,CAMLEN                                       
CAMERA REMOTES      ,99,60,CAMRMT                                       
CAMERA TRIPOD       ,99,60,CAMTRI                                       
SCANNER ACCESSORIES ,99,65,*                                            
NETWORK SCAN SERVER ,99,65,DOCSVR                                       
SCANNER ADF         ,99,65,SC-ADF                                       
SCANNER SLIDE ADAPT ,99,65,SC-ADP                                       
SCANNER CARRY CASE  ,99,65,SC-CAS                                       
SCANNER FILM HOLDER ,99,65,SC-FDR                                       
SCANNER INTERFACE   ,99,65,SC-I/F                                       
SCANNER IMPRIN/ENDOR,99,65,SC-IMP                                       
SCANNER ACCS        ,99,65,SC-KIT                                       
PHONE/CELLULAR ACCS ,99,70,*                                            
